embedding_model,classifier,repeat,seed,category,precision,recall,f1,nb_test,nb_0,nb_1
minilm,XGBoost,1,42,Magellan,1.0,1.0,1.0,75,59,16
minilm,XGBoost,1,42,OpenData,0.977519941986947,0.9853801169590644,0.9814342919548599,82737,81369,1368
minilm,XGBoost,1,42,TPC-DI,0.9418416801292407,0.966832504145937,0.9541734860883797,15268,14665,603
minilm,XGBoost,1,42,Wikidata,0.5,0.7142857142857143,0.5882352941176471,587,580,7
roberta,RandomForest,1,42,ChEMBL,0.9935064935064936,0.7512274959083469,0.8555452003727866,16851,16240,611
roberta,RandomForest,1,42,Magellan,1.0,1.0,1.0,75,59,16
roberta,RandomForest,1,42,OpenData,0.9967453213995118,0.89546783625731,0.9433962264150944,82737,81369,1368
roberta,RandomForest,1,42,TPC-DI,0.9911111111111112,0.7396351575456053,0.8471035137701804,15268,14665,603
roberta,RandomForest,1,42,Wikidata,0.5,0.2857142857142857,0.36363636363636365,587,580,7
roberta,LogisticRegression,1,42,ChEMBL,0.18915343915343916,0.9361702127659575,0.3147180192572215,16851,16240,611
roberta,LogisticRegression,1,42,Magellan,0.5925925925925926,1.0,0.7441860465116279,75,59,16
roberta,LogisticRegression,1,42,OpenData,0.4176896443185395,0.9700292397660819,0.583938393839384,82737,81369,1368
roberta,LogisticRegression,1,42,TPC-DI,0.3088888888888889,0.9220563847429519,0.46275488972118184,15268,14665,603
roberta,LogisticRegression,1,42,Wikidata,0.09090909090909091,0.8571428571428571,0.1643835616438356,587,580,7
roberta,KNN,1,42,ChEMBL,0.9833729216152018,0.6775777414075287,0.8023255813953488,16851,16240,611
roberta,KNN,1,42,Magellan,1.0,1.0,1.0,75,59,16
roberta,KNN,1,42,OpenData,0.9854700854700855,0.8428362573099415,0.9085894405043341,82737,81369,1368
roberta,KNN,1,42,TPC-DI,0.9164556962025316,0.6003316749585407,0.7254509018036072,15268,14665,603
roberta,KNN,1,42,Wikidata,0.375,0.42857142857142855,0.4,587,580,7
roberta,MLP,1,42,ChEMBL,0.863013698630137,0.8248772504091653,0.8435146443514644,16851,16240,611
roberta,MLP,1,42,Magellan,1.0,1.0,1.0,75,59,16
roberta,MLP,1,42,OpenData,0.9636638909916729,0.9305555555555556,0.9468203793231684,82737,81369,1368
roberta,MLP,1,42,TPC-DI,0.8664383561643836,0.8391376451077943,0.8525695029486099,15268,14665,603
roberta,MLP,1,42,Wikidata,0.2222222222222222,0.5714285714285714,0.32,587,580,7
roberta,CatBoost,1,42,ChEMBL,0.8802919708029197,0.9869067103109657,0.9305555555555556,16851,16240,611
roberta,CatBoost,1,42,Magellan,1.0,1.0,1.0,75,59,16
roberta,CatBoost,1,42,OpenData,0.9184636118598383,0.9963450292397661,0.955820476858345,82737,81369,1368
roberta,CatBoost,1,42,TPC-DI,0.8740740740740741,0.978441127694859,0.9233176838810642,15268,14665,603
roberta,CatBoost,1,42,Wikidata,0.25,0.7142857142857143,0.37037037037037035,587,580,7
roberta,XGBoost,1,42,ChEMBL,0.9622950819672131,0.9607201309328969,0.9615069615069615,16851,16240,611
roberta,XGBoost,1,42,Magellan,1.0,1.0,1.0,75,59,16
roberta,XGBoost,1,42,OpenData,0.9803206997084548,0.9831871345029239,0.9817518248175182,82737,81369,1368
roberta,XGBoost,1,42,TPC-DI,0.9435483870967742,0.9701492537313433,0.9566639411283728,15268,14665,603
roberta,XGBoost,1,42,Wikidata,0.5,0.7142857142857143,0.5882352941176471,587,580,7
albert,RandomForest,2,43,ChEMBL,0.9934497816593887,0.7154088050314465,0.8318098720292505,16648,16012,636
albert,RandomForest,2,43,Magellan,1.0,1.0,1.0,76,61,15
albert,RandomForest,2,43,OpenData,0.9992044550517104,0.9108049311094997,0.952959028831563,82786,81407,1379
albert,RandomForest,2,43,TPC-DI,0.988479262672811,0.7566137566137566,0.8571428571428571,15466,14899,567
albert,RandomForest,2,43,Wikidata,0.5,0.375,0.42857142857142855,542,534,8
albert,LogisticRegression,2,43,ChEMBL,0.1984369690791709,0.9182389937106918,0.3263481419390891,16648,16012,636
albert,LogisticRegression,2,43,Magellan,0.4838709677419355,1.0,0.6521739130434783,76,61,15
